,Country,Year,Obesity,Sex
0,Afghanistan,1975,0.5,Both
1,Afghanistan,1975,0.2,Male
2,Afghanistan,1975,0.8,Female
3,Afghanistan,1976,0.5,Both
4,Afghanistan,1976,0.2,Male
5,Afghanistan,1976,0.8,Female
6,Afghanistan,1977,0.6,Both
7,Afghanistan,1977,0.2,Male
8,Afghanistan,1977,0.9,Female
9,Afghanistan,1978,0.6,Both
10,Afghanistan,1978,0.2,Male
11,Afghanistan,1978,0.9,Female
12,Afghanistan,1979,0.6,Both
13,Afghanistan,1979,0.3,Male
14,Afghanistan,1979,1,Female
15,Afghanistan,1980,0.7,Both
16,Afghanistan,1980,0.3,Male
17,Afghanistan,1980,1.1,Female
18,Afghanistan,1981,0.7,Both
19,Afghanistan,1981,0.3,Male
20,Afghanistan,1981,1.1,Female
21,Afghanistan,1982,0.8,Both
22,Afghanistan,1982,0.3,Male
23,Afghanistan,1982,1.2,Female
24,Afghanistan,1983,0.8,Both
25,Afghanistan,1983,0.4,Male
26,Afghanistan,1983,1.3,Female
27,Afghanistan,1984,0.9,Both
28,Afghanistan,1984,0.4,Male
29,Afghanistan,1984,1.4,Female
30,Afghanistan,1985,1,Both
31,Afghanistan,1985,0.4,Male
32,Afghanistan,1985,1.5,Female
33,Afghanistan,1986,1,Both
34,Afghanistan,1986,0.4,Male
35,Afghanistan,1986,1.5,Female
36,Afghanistan,1987,1.1,Both
37,Afghanistan,1987,0.5,Male
38,Afghanistan,1987,1.6,Female
39,Afghanistan,1988,1.2,Both
40,Afghanistan,1988,0.5,Male
41,Afghanistan,1988,1.7,Female
42,Afghanistan,1989,1.2,Both
43,Afghanistan,1989,0.6,Male
44,Afghanistan,1989,1.8,Female
45,Afghanistan,1990,1.3,Both
46,Afghanistan,1990,0.6,Male
47,Afghanistan,1990,1.9,Female
48,Afghanistan,1991,1.4,Both
49,Afghanistan,1991,0.6,Male
50,Afghanistan,1991,2.1,Female
51,Afghanistan,1992,1.5,Both
52,Afghanistan,1992,0.7,Male
53,Afghanistan,1992,2.2,Female
54,Afghanistan,1993,1.5,Both
55,Afghanistan,1993,0.7,Male
56,Afghanistan,1993,2.3,Female
57,Afghanistan,1994,1.6,Both
58,Afghanistan,1994,0.8,Male
59,Afghanistan,1994,2.4,Female
60,Afghanistan,1995,1.7,Both
61,Afghanistan,1995,0.8,Male
62,Afghanistan,1995,2.6,Female
63,Afghanistan,1996,1.8,Both
64,Afghanistan,1996,0.9,Male
65,Afghanistan,1996,2.7,Female
66,Afghanistan,1997,1.9,Both
67,Afghanistan,1997,1,Male
68,Afghanistan,1997,2.9,Female
69,Afghanistan,1998,2.1,Both
70,Afghanistan,1998,1,Male
71,Afghanistan,1998,3,Female
72,Afghanistan,1999,2.2,Both
73,Afghanistan,1999,1.1,Male
74,Afghanistan,1999,3.2,Female
75,Afghanistan,2000,2.3,Both
76,Afghanistan,2000,1.2,Male
77,Afghanistan,2000,3.4,Female
78,Afghanistan,2001,2.4,Both
79,Afghanistan,2001,1.3,Male
80,Afghanistan,2001,3.6,Female
81,Afghanistan,2002,2.6,Both
82,Afghanistan,2002,1.3,Male
83,Afghanistan,2002,3.8,Female
84,Afghanistan,2003,2.7,Both
85,Afghanistan,2003,1.4,Male
86,Afghanistan,2003,4,Female
87,Afghanistan,2004,2.9,Both
88,Afghanistan,2004,1.5,Male
89,Afghanistan,2004,4.2,Female
90,Afghanistan,2005,3,Both
91,Afghanistan,2005,1.6,Male
92,Afghanistan,2005,4.4,Female
93,Afghanistan,2006,3.2,Both
94,Afghanistan,2006,1.7,Male
95,Afghanistan,2006,4.7,Female
96,Afghanistan,2007,3.4,Both
97,Afghanistan,2007,1.8,Male
98,Afghanistan,2007,4.9,Female
99,Afghanistan,2008,3.6,Both
100,Afghanistan,2008,2,Male
101,Afghanistan,2008,5.2,Female
102,Afghanistan,2009,3.8,Both
103,Afghanistan,2009,2.1,Male
104,Afghanistan,2009,5.4,Female
105,Afghanistan,2010,4,Both
106,Afghanistan,2010,2.2,Male
107,Afghanistan,2010,5.7,Female
108,Afghanistan,2011,4.2,Both
109,Afghanistan,2011,2.4,Male
110,Afghanistan,2011,6,Female
111,Afghanistan,2012,4.4,Both
112,Afghanistan,2012,2.5,Male
113,Afghanistan,2012,6.3,Female
114,Afghanistan,2013,4.7,Both
115,Afghanistan,2013,2.7,Male
116,Afghanistan,2013,6.6,Female
117,Afghanistan,2014,4.9,Both
118,Afghanistan,2014,2.8,Male
119,Afghanistan,2014,7,Female
120,Afghanistan,2015,5.2,Both
121,Afghanistan,2015,3,Male
122,Afghanistan,2015,7.3,Female
123,Afghanistan,2016,5.5,Both
124,Afghanistan,2016,3.2,Male
125,Afghanistan,2016,7.6,Female
126,Albania,1975,6.5,Both
127,Albania,1975,4.4,Male
128,Albania,1975,8.6,Female
129,Albania,1976,6.7,Both
130,Albania,1976,4.6,Male
131,Albania,1976,8.8,Female
132,Albania,1977,6.8,Both
133,Albania,1977,4.8,Male
134,Albania,1977,8.9,Female
135,Albania,1978,7,Both
136,Albania,1978,5,Male
137,Albania,1978,9.1,Female
138,Albania,1979,7.2,Both
139,Albania,1979,5.2,Male
140,Albania,1979,9.3,Female
141,Albania,1980,7.4,Both
142,Albania,1980,5.4,Male
143,Albania,1980,9.5,Female
144,Albania,1981,7.6,Both
145,Albania,1981,5.6,Male
146,Albania,1981,9.7,Female
147,Albania,1982,7.8,Both
148,Albania,1982,5.8,Male
149,Albania,1982,9.9,Female
150,Albania,1983,8,Both
151,Albania,1983,6,Male
